image,name,cost,type,template,ability,flavour,amount,Notes
C:\Users\edwar\OneDrive\Documents\Rook\cards\Advanced Diplomacy.jpg,Advanced Diplomacy,2,Upgrade,Upgrade.png,"At the end of the round, you and another player gain 1 ;point.",Strength through unity.,3,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Advanced Railguns.jpg,Advanced Railguns,2,Upgrade,Upgrade.png,Discard a card to gain 2 extra ;die in the next battle you're in.,The weapons of the future bringing death today!,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Asteroid Outposts.jpg,Asteroid Outposts,2,Action,Action.png,Remove a raid anywhere in the galaxy.,"Silently, they wait in fear, vigilant for the time they are needed. As soon as Tjizik gets back from his lunch break, that is.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Battlefield Tractor Fields.jpg,Battlefield Tractor Fields,2,Upgrade,Upgrade.png,Gain 1 ;credit whenever you are attacked.,Funny the bits and bobs you find.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Beautiful Creations.jpg,Beautiful Creations,3,Upgrade,Upgrade.png,"At the end of each round, you gain 1 ;point  if you control fewer than 15 ;unit.",No other can rival the beauty that your kind creates.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Black Hole Bomb.jpg,Black Hole Bomb,3,Action,Action.png,All systems in the centre of the galaxy lose 1 ;unit.,Death has no face.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Cloning Vats.jpg,Cloning Vats,4,Upgrade,Upgrade.png,You gain 1 extra ;unit when training units with develop orders.,You'll be your own right hand man.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Coup.jpg,Coup,3,Action,Action.png,You become the new Emperor. The old Emperor loses all abilities and is no longer the Emperor. You resolve the next order.,I am the Senate.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Crash the Economy.jpg,Crash the Economy,3,Action,Action.png,All other players lose 4 ;credit.,"Well if I can't have money, neither can you.",1,"Nobody buys this card when it costs 4 credits, and it's not interesting when it costs 3. I don't care for it"
C:\Users\edwar\OneDrive\Documents\Rook\cards\Cybernetic Implants.jpg,Cybernetic Implants,3,Upgrade,Upgrade.png,"At the end of each round, you gain 1 ;point  if you control more than 4 upgrades.",Maths is easy when you implant yourself with a calculator. Murder too it turns out.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Dark Matter Research Centers.jpg,Dark Matter Research Centers,4,Upgrade,Upgrade.png,Buying cards costs you 1 less ;credit.,"State of the art, and reasonably priced too.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Drill Training.jpg,Emergency Drill Training,1,Action,Action.png,Train 1 ;unit.,"One minute, you're drinking blue milk with your aunt - the next, you're blowing up interstellar battle stations.",3,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Dyson Spheres.jpg,Dyson Spheres,2,Upgrade,Upgrade.png,You gain 2 ;credit at the end of every round.,"With the power of an entire star at their disposal, the galaxy suddenly felt very small.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\EMP.jpg,EMP,2,Action,Action.png,"Choose an upgrade controlled by a player. For the rest of the round, ignore its effects.",How about we level the playing field?,1,Is this vague? Will people think only the person playing the card has to ignore the effects?
C:\Users\edwar\OneDrive\Documents\Rook\cards\Espionage.jpg,Espionage,3,Action,Action.png,Destroy any upgrade and move it to the discard pile. The controller gains ;credit equal to its cost.,"The name's Fjutip, Flobob Fjutip.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Establish Galactic Market.jpg,Establish Galactic Market,1,Action,Action.png,Each player chooses a card from their hand and passes it to the player on their left.,Some say the Galactic Market is the true ruler of this forsaken galaxy.,1,I don’t like this card because I don't find it very fun
C:\Users\edwar\OneDrive\Documents\Rook\cards\Exchange Military Tech.jpg,Exchange Military Tech,2,Action,Action.png,Two players of your choice train 2 ;unit.,Your 3000 series plasma cannons would look great on our Z class frigates.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Fusion Power Plants.jpg,Fusion Power Plants,10,Upgrade,Upgrade.png,"At the end of each round, you gain 1 ;credit for each upgrade you control.",It's elementary my dear.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Gaia World.jpg,Gaia World,3,Upgrade,Upgrade.png,"At the end of each round, you gain 1 ;point  if you control more than 6 systems.",This world's unbound riches could support our people for millennia.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Gamma Lasers.jpg,Gamma Lasers,1,Upgrade,Upgrade.png,All players gain 1 extra ;die when attacking.,Deadly lasers go brrrr.,1,Possibly should cost 0? The develop to deploy this might be expense enough
C:\Users\edwar\OneDrive\Documents\Rook\cards\Intel exchange.jpg,Intel exchange,3,Upgrade,Upgrade.png,"At the start of each round, you and another player gain 1 extra ;die in all battles for that round.","Know your enemy, and we know them well.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Machine Learnt Battle Formations.jpg,Heavy Torpedos,4,Upgrade,Upgrade.png,Gain 1 extra ;die in battles.,Some of the finest weapons the Galactic Market has to offer.,1,
