image,name,cost,tier,type,template,ability,flavour,amount,Notes
C:\Users\edwar\OneDrive\Documents\Rook\cards\Migration Treaty.jpg,Migration Treaty,1,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of each round, you and another player train 1 ;unit.",Xeno... Together... Strong.,5,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Research Agreement.jpg,Research Agreement,1,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of each round, you and another player may exchange a card in each players hand. Both players must agree to the exchange.",Two heads are better than one.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Ship Scrapyards.jpg,Ship Scrapyards,1,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,At the end of the round you may destroy and discard any upgrade you control and receive ;credit equal to the cost.,"Reuse, reduce, recycle.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Trade Route.jpg,Trade Route,1,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of each round, you and another player gain 1 ;credit.","We have a lot to gain in this agreement. Although of course, I'll gain more.",5,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Advanced Diplomacy.jpg,Advanced Diplomacy,2,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of the round, you and another player gain 1 ;point.",Strength through unity.,3,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Battlefield Tractor Fields.jpg,Battlefield Tractor Fields,2,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,Gain 1 ;credit whenever you are attacked.,Funny the bits and bobs you find.,1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Dyson Spheres.jpg,Dyson Spheres,2,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,You gain 2 ;credit at the end of every round.,"With the power of an entire star at their disposal, the galaxy suddenly felt very small.",1,
C:\Users\edwar\OneDrive\Documents\Rook\cards\Ruthless Military.jpg,Ruthless Military,2,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,You may sacrifice a supporting unit once per round before a battle to gain 2 extra ;die in the supported battle.,Either come back victorious or dead.,1,maybe should just be a unit
C:\Users\edwar\OneDrive\Documents\Rook\cards\Fusion Power Plants.jpg,Fusion Power Plants,2,1,Tier 1,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of each round, you gain 1 ;credit for each upgrade you control.",It's elementary my dear.,1,to think that this card was the most expensive in the game once
C:\Users\edwar\OneDrive\Documents\Rook\cards\Beautiful Creations.jpg,Beautiful Creations,3,2,Tier 2,D:\Documents\empire-andromeda\Cards\Images\Upgrade.png,"At the end of each round, you gain 1 ;point  if you control fewer than 15 ;unit.",No other can rival the beauty that your kind creates.,1,
